ADBE,85.45,20160225_114254,84.76,
BAC,12.144,20160225_114254,12.14,
GPRO,11.41,20160225_114254,11.69,
FB,107.58,20160225_114254,107.09,
GOOG,698.14,20160225_114254,700.01,
AAPL,96.2,20160225_114254,96.16,
F,12.24,20160225_114254,12.11,
ARWR,3.86,20160225_114254,3.86,
BWLD,158.14,20160225_114254,159.25,
BP,28.345,20160225_114254,28.83,
WMT,67.43,20160225_114254,67.48,
TGT,77.05,20160225_114254,77.0,
AMZN,550.2967,20160225_114254,555.62,
MSFT,51.09,20160225_114254,51.73,
OTIV,0.71,20160225_114254,0.71,
PXLW,1.96,20160225_114254,2.0,
GOGO,9.8,20160225_114254,9.75,
HPQ,10.105,20160225_114259,10.13,
VZ,50.9949,20160225_114259,50.9,
HTCKF,9.9,20160225_114259,9.9,
SNE,21.1166,20160225_114259,21.12,
ADBE,85.54,20160225_114259,84.76,
BAC,12.15,20160225_114259,12.14,
GPRO,11.41,20160225_114259,11.69,
FB,107.59,20160225_114259,107.09,
GOOG,698.14,20160225_114259,700.01,
AAPL,96.2,20160225_114259,96.16,
F,12.24,20160225_114259,12.11,
ARWR,3.86,20160225_114259,3.86,
BWLD,158.14,20160225_114259,159.25,
BP,28.35,20160225_114259,28.83,
WMT,67.43,20160225_114259,67.48,
TGT,77.05,20160225_114259,77.0,
AMZN,550.29,20160225_114259,555.62,
MSFT,51.09,20160225_114259,51.73,
OTIV,0.71,20160225_114259,0.71,
PXLW,1.96,20160225_114259,2.0,
GOGO,9.79,20160225_114259,9.75,
HPQ,10.1,20160225_114304,10.13,
VZ,50.99,20160225_114304,50.9,
HTCKF,9.9,20160225_114304,9.9,
SNE,21.1166,20160225_114304,21.12,
ADBE,85.5,20160225_114304,84.76,
BAC,12.14,20160225_114304,12.14,
GPRO,11.41,20160225_114304,11.69,
FB,107.56,20160225_114304,107.09,
GOOG,698.14,20160225_114304,700.01,
AAPL,96.17,20160225_114304,96.16,
F,12.24,20160225_114304,12.11,
ARWR,3.85,20160225_114304,3.86,
BWLD,158.14,20160225_114304,159.25,
BP,28.34,20160225_114304,28.83,
WMT,67.43,20160225_114304,67.48,
TGT,77.04,20160225_114304,77.0,
AMZN,550.02,20160225_114304,555.62,
MSFT,51.09,20160225_114304,51.73,
OTIV,0.71,20160225_114304,0.71,
PXLW,1.96,20160225_114304,2.0,
GOGO,9.82,20160225_114304,9.75,
HPQ,10.1,20160225_114309,10.13,
VZ,50.99,20160225_114309,50.9,
HTCKF,9.9,20160225_114309,9.9,
SNE,21.1166,20160225_114309,21.12,
ADBE,85.47,20160225_114309,84.76,
BAC,12.1382,20160225_114309,12.14,
GPRO,11.41,20160225_114309,11.69,
FB,107.56,20160225_114309,107.09,
GOOG,698.45,20160225_114309,700.01,
AAPL,96.175,20160225_114309,96.16,
F,12.2368,20160225_114309,12.11,
ARWR,3.85,20160225_114309,3.86,
BWLD,158.14,20160225_114309,159.25,
BP,28.3515,20160225_114309,28.83,
WMT,67.435,20160225_114309,67.48,
TGT,77.05,20160225_114309,77.0,
AMZN,550.136,20160225_114309,555.62,
MSFT,51.0898,20160225_114309,51.73,
OTIV,0.71,20160225_114309,0.71,
PXLW,1.96,20160225_114309,2.0,
GOGO,9.82,20160225_114309,9.75,
HPQ,10.1,20160225_114314,10.13,
VZ,51.0,20160225_114314,50.9,
HTCKF,9.9,20160225_114314,9.9,
SNE,21.1166,20160225_114314,21.12,
ADBE,85.43,20160225_114314,84.76,
BAC,12.1382,20160225_114314,12.14,
GPRO,11.41,20160225_114314,11.69,
FB,107.54,20160225_114314,107.09,
GOOG,698.45,20160225_114314,700.01,
AAPL,96.18,20160225_114314,96.16,
F,12.24,20160225_114314,12.11,
ARWR,3.85,20160225_114314,3.86,
BWLD,158.14,20160225_114314,159.25,
BP,28.3401,20160225_114314,28.83,
WMT,67.43,20160225_114314,67.48,
